Timestamp;Value
2015-05-21;9156
2015-05-22;9154
2015-05-23;9155
2015-05-24;9157
2015-05-25;9158
2015-05-26;9159
2015-05-27;9160
2015-05-28;9160
2015-05-29;9162
2015-05-30;9164
2015-05-31;9166
2015-06-01;9169
2015-06-02;9173
2015-06-03;9177
2015-06-04;9180
2015-06-05;9180
2015-06-06;9181
2015-06-07;9182
2015-06-08;9186
2015-06-09;9188
2015-06-10;9192
2015-06-11;9194
2015-06-12;9194
2015-06-13;9194
2015-06-14;9194
2015-06-15;9195
2015-06-16;9193
2015-06-17;9192
2015-06-18;9192
2015-06-19;9190
2015-06-20;9187
2015-06-21;9185
2015-06-22;9182
2015-06-23;9179
2015-06-24;9176
2015-06-25;9173
2015-06-26;9173
2015-06-27;9172
2015-06-28;9174
2015-06-29;9175
2015-06-30;9175
2015-07-01;9174
2015-07-02;9174
2015-07-03;9175
2015-07-04;9173
2015-07-05;9171
2015-07-06;9169
2015-07-07;9169
2015-07-08;9168
2015-07-09;9167
2015-07-10;9167
2015-07-11;9167
2015-07-12;9167
2015-07-13;9164
2015-07-14;9162
2015-07-15;9161
2015-07-16;9161
2015-07-17;9160
2015-07-18;9157
2015-07-19;9155
2015-07-20;9152
2015-07-21;9152
2015-07-22;9150
2015-07-23;9148
2015-07-24;9146
2015-07-25;9146
2015-07-26;9142
2015-07-27;9141
2015-07-28;9148
2015-07-29;9154
2015-07-30;9158
2015-07-31;9159
2015-08-01;9159
2015-08-02;9159
2015-08-03;9158
2015-08-04;9158
2015-08-05;9159
2015-08-06;9159
2015-08-07;9159
2015-08-08;9160
2015-08-09;9162
2015-08-10;9163
2015-08-11;9164
2015-08-12;9163
2015-08-13;9164
2015-08-14;9166
2015-08-15;9164
2015-08-16;9171
2015-08-17;9183
2015-08-18;9191
2015-08-19;9196
2015-08-20;9201
2015-08-21;9203
2015-08-22;9207
2015-08-23;9212
2015-08-24;9215
2015-08-25;9216
2015-08-26;9218
2015-08-27;9216
2015-08-28;9216
2015-08-29;9218
2015-08-30;9218
2015-08-31;9218
2015-09-01;9217
2015-09-02;9219
2015-09-03;9217
2015-09-04;9216
2015-09-05;9215
2015-09-06;9213
2015-09-07;9212
2015-09-08;9210
2015-09-09;9206
2015-09-10;9208
2015-09-11;9209
2015-09-12;9210
2015-09-13;9210
2015-09-14;9209
2015-09-15;9209
2015-09-16;9208
2015-09-17;9208
2015-09-18;9210
2015-09-19;9211
2015-09-20;9210
2015-09-21;9208
2015-09-22;9211
2015-09-23;9211
2015-09-24;9210
2015-09-25;9211
2015-09-26;9211
2015-09-27;9210
2015-09-28;9210
2015-09-29;9209
2015-09-30;9207
2015-10-01;9206
2015-10-02;9208
