Date;Value
2011-06-28;325
2011-06-29;316
2011-06-30;310
2011-07-01;302
2011-07-02;295
2011-07-03;286
2011-07-04;277
2011-07-05;279
2011-07-06;301
2011-07-07;357
2011-07-08;375
2011-07-09;367
2011-07-10;332
2011-07-11;315
2011-07-12;296
2011-07-13;294
2011-07-14;289
2011-07-15;284
2011-07-16;278
2011-07-17;275
2011-07-18;275
2011-07-19;275
2011-07-20;274
2011-07-21;271
2011-07-22;266
2011-07-23;263
2011-07-24;262
2011-07-25;260
2011-07-26;254
2011-07-27;249
2011-07-28;247
2011-07-29;247
2011-07-30;252
2011-07-31;258
2011-08-01;260
2011-08-02;262
2011-08-03;269
2011-08-04;272
2011-08-05;254
2011-08-06;252
2011-08-07;253
2011-08-08;258
2011-08-09;263
2011-08-10;264
2011-08-11;266
2011-08-12;271
2011-08-13;276
2011-08-14;292
2011-08-15;332
2011-08-16;352
2011-08-17;379
2011-08-18;366
2011-08-19;335
2011-08-20;307
2011-08-21;290
2011-08-22;284
2011-08-23;276
2011-08-24;272
2011-08-25;271
2011-08-26;266
2011-08-27;262
2011-08-28;256
2011-08-29;254
2011-08-30;254
2011-08-31;252
2011-09-01;251
2011-09-02;250
2011-09-03;250
2011-09-04;253
2011-09-05;257
2011-09-06;280
2011-09-07;322
2011-09-08;347
2011-09-09;323
2011-09-10;310
2011-09-11;300
2011-09-12;288
2011-09-13;279
2011-09-14;282
2011-09-15;292
2011-09-16;288
2011-09-17;279
2011-09-18;274
2011-09-19;269
2011-09-20;269
2011-09-21;281
2011-09-22;290
2011-09-23;288
2011-09-24;284
2011-09-25;279
2011-09-26;277
2011-09-27;275
2011-09-28;275
2011-09-29;273
2011-09-30;273
2011-10-01;277
2011-10-02;292
2011-10-03;295
2011-10-04;291
2011-10-05;289
2011-10-06;275
2011-10-07;270
2011-10-08;266
2011-10-09;261
2011-10-10;256
2011-10-11;253
2011-10-12;249
2011-10-13;248
2011-10-14;247
2011-10-15;247
2011-10-16;248
2011-10-17;247
2011-10-18;247
2011-10-19;247
2011-10-20;238
2011-10-21;233
2011-10-22;228
2011-10-23;227
2011-10-24;223
2011-10-25;222
2011-10-26;236
2011-10-27;249
2011-10-28;252
2011-10-29;254
2011-10-30;253
2011-10-31;249
2011-11-01;248
2011-11-02;244
2011-11-03;234
2011-11-04;229
2011-11-05;226
2011-11-06;219
2011-11-07;209
2011-11-08;207
2011-11-09;205
2011-11-10;204
2011-11-11;202
2011-11-12;200
2011-11-13;199
2011-11-14;195
2011-11-15;194
2011-11-16;195
2011-11-17;193
2011-11-18;191
2011-11-19;191
2011-11-20;188
2011-11-21;185
2011-11-22;183
2011-11-23;182
2011-11-24;180
2011-11-25;181
2011-11-26;219
2011-11-27;270
2011-11-28;283
2011-11-29;286
2011-11-30;284
2011-12-01;289
2011-12-02;299
2011-12-03;305
2011-12-04;305
2011-12-05;305
2011-12-06;298
2011-12-07;296
2011-12-08;296
2011-12-09;299
2011-12-10;301
2011-12-11;303
2011-12-12;305
2011-12-13;305
2011-12-14;300
2011-12-15;295
2011-12-16;293
2011-12-17;291
2011-12-18;291
2011-12-19;290
2011-12-20;289
2011-12-21;291
2011-12-22;291
2011-12-23;293
2011-12-24;293
2011-12-25;294
2011-12-26;292
2011-12-27;289
2011-12-28;289
2011-12-29;289
2011-12-30;289
2011-12-31;289
2012-01-01;289
2012-01-02;288
2012-01-03;288
2012-01-04;288
2012-01-05;286
2012-01-06;290
2012-01-07;296
2012-01-08;296
2012-01-09;294
2012-01-10;292
2012-01-11;292
2012-01-12;292
2012-01-13;291
2012-01-14;289
2012-01-15;288
2012-01-16;293
2012-01-17;297
2012-01-18;300
2012-01-19;298
2012-01-20;294
2012-01-21;292
2012-01-22;292
2012-01-23;292
2012-01-24;292
2012-01-25;291
2012-01-26;289
2012-01-27;287
2012-01-28;288
2012-01-29;290
2012-01-30;292
2012-01-31;294
2012-02-01;292
2012-02-02;292
2012-02-03;295
2012-02-04;297
2012-02-05;297
2012-02-06;300
2012-02-07;297
2012-02-08;297
2012-02-09;295
2012-02-10;294
2012-02-11;294
2012-02-12;295
2012-02-13;298
2012-02-14;299
2012-02-15;299
2012-02-16;299
2012-02-17;297
2012-02-18;296
2012-02-19;294
2012-02-20;294
2012-02-21;295
2012-02-22;295
2012-02-23;296
2012-02-24;296
2012-02-25;296
2012-02-26;302
2012-02-27;302
2012-02-28;300
2012-02-29;298
2012-03-01;302
2012-03-02;302
2012-03-03;302
2012-03-04;300
2012-03-05;299
2012-03-06;305
2012-03-07;305
2012-03-08;305
2012-03-09;304
2012-03-10;303
2012-03-11;308
2012-03-12;312
2012-03-13;313
2012-03-14;311
2012-03-15;309
2012-03-16;311
2012-03-17;311
2012-03-18;311
2012-03-19;309
2012-03-20;309
2012-03-21;309
2012-03-22;306
2012-03-23;304
2012-03-24;303
2012-03-25;303
2012-03-26;302
2012-03-27;306
2012-03-28;306
2012-03-29;307
2012-03-30;308
2012-03-31;312
